Mandant;Linie;"ersetze Linie mit"
1;30;9030
1;401;4011
1;402;4021
1;40;9040
1;72;60072
1;56;1056
1;52;1052
5;401;991401
5;402;991402
5;403;991403
5;404;991404
5;405;991405
5;406;991406
5;809;991809
5;817;991817
5;818;991818
5;819;991819
5;820;991820
5;821;991821
5;831;991831
5;832;991832
5;833;991833
5;834;991834
5;835;991835
5;836;991836
5;837;991837
5;46;99146
5;50;99250
5;51;99251
5;57;99257
5;60;99260
5;80;99280
5;81;99281
5;83;99283
5;84;99284
5;85;99285
5;86;99286
5;59;99259
5;61;99261
5;62;99262
5;63;99263
5;64;99264
5;65;99265
5;66;99266
5;67;99267
5;68;99268
5;69;99269
5;82;99282
5;34;99234
5;192;991401
